sku;Titulo;image;media_gallery;color;small_image;thumbnail
G_CM_CORINGA_CABELO_VERDE;Camisa com manga Coringa Cabelo Verde;Coringa cabelo verde.jpg;;preta;Coringa cabelo verde.jpg;Coringa cabelo verde.jpg
G_CM_CORINGA_CARTA;Camisa com manga Coringa Carta;CORINGA CARTA.jpg;;preta;CORINGA CARTA.jpg;CORINGA CARTA.jpg
G_CM_CURE_BOYS;Camisa com manga Cure Boys;cure.png;;branca;cure.png;cure.png
CMBLG00033;Camisa Baby Look Dark Side Vader;;;;;
G_CM_DARK_SIDE_VADER;Camisa com manga Dark Side Vader;;;;;
G_CM_DARK_THRONE;Camisa com manga Dark Throne;Dark Throne.jpg;;preta;Dark Throne.jpg;Dark Throne.jpg
G_CM_DARTH_VADER_BRANCA;Camisa com manga Darth Vader Branca;Darth vader.jpg;;branca;Darth vader.jpg;Darth vader.jpg
CMCMG00151;Camisa com manga Darth Vader Branco;;;;;
CMBLG00081;Camisa Baby Look David Caveira;;;;;
G_CM_DAVID_CAVEIRA;Camisa com manga David Caveira;;;;;
G_CM_DEATH_LOGO;Camisa com manga Death Logo;Death.jpg;;preta;Death.jpg;Death.jpg
G_CM_DEATH_NOTE_BRANCA_VIRUS;Camisa com manga Death Note Branca Virus;death note branca.png;;branca;death note branca.png;death note branca.png
G_CM_DEATH_NOTE_PRETA_HCD;Camisa com manga Death Note Preta Hcd;deathnote.png;deathnote costas.png::Costas;preta;deathnote.png;deathnote.png
CMCMP00293;Camisa com manga Death Note Preta Hcdc;;;;;
G_CM_DEEP_PURPLE_IN_ROCK;Camisa com manga Deep Purple In Rock;;;;;
G_CM_DEF_LEPPARD_PYROMANIA;Camisa com manga Def Leppard Pyromania;def leppard.jpg;def leppard costas.jpg::Costas;preta;def leppard.jpg;def leppard.jpg
CMCMGG00171;Camisa com manga Def Lepppard Pyromania;;;;;
G_CM_DEICEIDE_TO_HELL;Camisa com manga Deiceide To Hell;;;;;
G_CM_DESTRUCTION;Camisa com manga Destruction;destruction.jpg;Destruction costas.jpg::Costas;preta;destruction.jpg;destruction.jpg
